ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS
3332	arabic	qualité d'un aliment gras (quality of a fatty food)	dasam­-	dasam-	d a s a m		1644
3346	arabic	queue (tail)	ḏubābat-	ðubaːbat-	ð u b aː b a t		1649
3345	arabic	queue; toupet (tail; toupee)	ḏuˀābat-	ðuʔaːbat-	ð u ʔ aː b a t		1649
863	syriac	rabbit	ˀarnbā	ʔarnbaː	ʔ a r n b aː		372
4008	geez	race, generation	dār	daːr	d aː r		2024
2296	syriac	race, stock	mīnā	miːnaː	m iː n aː		972
3557	akkadian	radiance	birbirru, mirmerru	birbirru	b i r b i r r u		1739
878	akkadian	radius and ulna (the two bones of the human forearm)	ibrētu	ibreːtu	i b r eː t u		377
1268	ps	rain	*ḏVnVm-/ḏVnVn-	ð-n-m-	ð n m		541
1270	hebrew	rain	zäräm	zæræm	z æ r æ m		541
3719	arabic	rain little in quantity	baḍīḍat-	badˤiːdˤat-	b a dˤ iː dˤ a t		1834
1283	akkadian	rainstorm	rādu	raːdu	r aː d u		545
1105	ps	ram	*ˀayl-, *ˀVl-	ʔajl-	ʔ a j l		495
1108	hebrew	ram	ˀayil	ʔajil	ʔ a j i l		495
1423	ps	ram	*kabŝ-	kabɬ-	k a b ɬ		600
1425	hebrew	ram	käbäŝ	kæbæɬ	k æ b æ ɬ		600
1427	arabic	ram	kabš-	kabʃ-	k a b ʃ		600
2662	ps	ram	*ka/irr-	ka	k a		1077
2664	ugaritic	ram	kr	kr	k r		1077
3501	ps	ram	*wābil-	waːbil-	w aː b i l		1721
3502	hebrew	ram	yōbēl	joːbeːl	j oː b eː l		1721
1107	ugaritic	ram (of superior quality)	ˀal, ˀil	ʔal	ʔ a l		495
1817	hebrew	ramified bloodvessel, artery; bronchiae	simpōn	simpoːn	s i m p oː n		755
3640	syriac	rana (frog)	yaḳrūrā	jaqˤruːraː	j a qˤ r uː r aː		1787
3310	ugaritic	raptor, conventionally “hawk”	dˀiy	dʔij	d ʔ i j		1639
3474	arabic	rat	šīm-	ʃiːm-	ʃ iː m		1707
3526	arabic	rat	ǯirḏawn-	girðawn-	g i r ð a w n		1728
3638	geez	raven, crow	ḳʷāˁ	qˤʷaːʕ	qʷˤ aː ʕ		1786
3673	arabic	rear, last part, backside, behind, behind of the head	kusˀ-, kusy-	kusʔ-	k u s ʔ		1811
1820	akkadian	rear, rear side	warkatu	warkatu	w a r k a t u		758
2209	hebrew	receding hairline; bare spot	gabbaḥat	gabbaħat	g a b b a ħ a t		942
2573	arabic	receptacle for liquids	saˀb-	saʔb-	s a ʔ b		1053
2987	ps	red	*ˀdm	ʔdm	ʔ d m		1443
2991	geez	red	ˀaddāmāwi	ʔaddaːmaːwi	ʔ a d d aː m aː w i		1443
3429	arabic	red ant	sumsum-	sumsum-	s u m s u m		1690
3311	hebrew	red kite	dāˀā	daːʔaː	d aː ʔ aː		1639
3392	hebrew	red kite	rāˀā	raːʔaː	r aː ʔ aː		1675
947	syriac	red starthistle	dardrā	dardraː	d a r d r aː		400
2988	akkadian	red, red garment	adamu	adamu	a d a m u		1443
4055	ugaritic	redemption, ransom	tšlm	tʃlm	t ʃ l m		2074
3735	ps	reed	*ˀaš(a)l-	ʔaʃl-	ʔ a ʃ l		1848
3564	akkadian	reed mat	burû	burû	b u r û		1741
955	ps	reed, cane	*ḳanay-	qˤanaj-	qˤ a n a j		402
956	akkadian	reed, cane	ḳanû	qˤanû	qˤ a n û		402
957	ugaritic	reed, cane	ḳn	qˤn	qˤ n		402
958	hebrew	reed, cane	ḳānǟ	qˤaːnæː	qˤ aː n æː		402
959	syriac	reed, cane	ḳanyā	qˤanjaː	qˤ a n j aː		402
960	arabic	reed, cane	qanāt-	qanaːt-	q a n aː t		402
3563	ps	reed, mat	*burˁ-	burʕ-	b u r ʕ		1741
3565	geez	reed, reed pen, branch of a chandelier, stalk, stem of fruit, stubble	bərˁ	bərʕ	b ə r ʕ		1741
710	arabic	remain, relic, trace	ˀaṯar-	ʔaθar-	ʔ a θ a r		325
2287	geez	remove chaff	grd	grd	g r d		967
833	arabic	repaire d'une bête feroce (lair of a ferocious beast)	ˀirān-, miˀrān-	ʔiraːn-	ʔ i r aː n		366
1580	hebrew	reptile	ḥōmäṭ	ħoːmætˤ	ħ oː m æ tˤ		659
1002	syriac	resin of tamarisk	ˁarˁūrā	ʕarʕuːraː	ʕ a r ʕ uː r aː		424
694	syriac	rest	škāṭā	ʃkaːtˤaː	ʃ k aː tˤ aː		320
1699	ps	rib	*ṣ̂ilaˁ-	ɬˤilaʕ-	ɬˤ i l a ʕ		715
1701	ugaritic	rib	ṣlˁ	sˤlʕ	sˤ l ʕ		715
1702	hebrew	rib	ṣēlāˁ	sˤeːlaːʕ	sˤ eː l aː ʕ		715
1703	syriac	rib	ˀelˁā	ʔelʕaː	ʔ e l ʕ aː		715
1704	arabic	rib	ḍilaˁ-	dˤilaʕ-	dˤ i l a ʕ		715
1700	akkadian	rib, side (part of the human and the animal body); side (of an object)	ṣēlu	sˤeːlu	sˤ eː l u		715
1348	akkadian	right	imnu	imnu	i m n u		564
1349	ugaritic	right	ymn	jmn	j m n		564
1351	syriac	right	yammīnā	jammiːnaː	j a m m iː n aː		564
1352	arabic	right	yamīn-, yaman-	jamiːn-	j a m iː n		564
1353	geez	right	yamān	jamaːn	j a m aː n		564
1347	ps	right hand (side)	*yamVn-	jam-n-	j a m n		564
1350	hebrew	right side	yāmīn	jaːmiːn	j aː m iː n		564
1683	akkadian	ring	unḳu	unqˤu	u n qˤ u		708
4163	akkadian	rite, ritual; divine authority; authoritative decision, command, decree	parṣu	parsˤu	p a r sˤ u		2140
1226	ps	river	*nah(a)r-	nahr-	n a h r		529
1227	akkadian	river	nāru	naːru	n aː r u		529
1228	ugaritic	river	nhr	nhr	n h r		529
1229	hebrew	river	nāhār	naːhaːr	n aː h aː r		529
1230	syriac	river	nahrā	nahraː	n a h r aː		529
1231	arabic	river	nahr-, nahar-	nahr-	n a h r		529
1237	geez	river	falag	falag	f a l a g		530
1238	ps	river valley, wadi	*naḫl-	naxl-	n a x l		531
1239	akkadian	river valley, wadi	naḫallu, naḫlu	naxallu	n a x a l l u		531
1240	ugaritic	river valley, wadi	nḫl	nxl	n x l		531
1241	hebrew	river valley, wadi	naḥal	naħal	n a ħ a l		531
1242	syriac	river valley, wadi	naḥlā	naħlaː	n a ħ l aː		531
702	ps	road	*ˀurḫ-	ʔurx-	ʔ u r x		324
703	akkadian	road	urḫu	urxu	u r x u		324
705	syriac	road	ˀurḥā	ʔurħaː	ʔ u r ħ aː		324
4135	akkadian	road, path	girru	girru	g i r r u		2131
441	syriac	rock, stone, gem; small building	ˀabnā	ʔabnaː	ʔ a b n aː		99
783	ps	rod	*ḫuṭr-	xutˤr-	x u tˤ r		351
785	hebrew	rod	ḥōṭär	ħoːtˤær	ħ oː tˤ æ r		351
786	syriac	rod	ḥuṭrā	ħutˤraː	ħ u tˤ r aː		351
1520	akkadian	roe deer	nayalu	najalu	n a j a l u		629
3514	hebrew	rooster	zarzīr	zarziːr	z a r z iː r		1725
809	syriac	rooster, cock	ˀabakkā, ˀābkā, bakkā	ʔabakkaː	ʔ a b a k k aː		359
427	ps	root	*ŝVrš-	ɬ-rʃ-	ɬ r ʃ		98
429	ugaritic	root	šrš	ʃrʃ	ʃ r ʃ		98
430	hebrew	root	šōräš	ʃoːræʃ	ʃ oː r æ ʃ		98
431	syriac	root	šeršā	ʃerʃaː	ʃ e r ʃ aː		98
435	arabic	root	širš-	ʃirʃ-	ʃ i r ʃ		98
436	geez	root	ŝərw	ɬərw	ɬ ə r w		98
428	akkadian	root, base, foundation	šuršu	ʃurʃu	ʃ u r ʃ u		98
2964	ps	rope	*ḥabl-	ħabl-	ħ a b l		1407
2965	akkadian	rope	eblu	eblu	e b l u		1407
2968	syriac	rope	ḥablā	ħablaː	ħ a b l aː		1407
2969	arabic	rope, cord	ḥabl-	ħabl-	ħ a b l		1407
2967	hebrew	rope, cord, snares	ḥäbäl	ħæbæl	ħ æ b æ l		1407
3891	syriac	rotten	tḥiḥ	tħiħ	t ħ i ħ		1981
952	ps	rush	*ˀašal-	ʔaʃal-	ʔ a ʃ a l		401
953	akkadian	rush	ašlu	aʃlu	a ʃ l u		401
954	arabic	rush	ˀasal-	ʔasal-	ʔ a s a l		401
965	akkadian	rush	elpetu	elpetu	e l p e t u		405
2701	arabic	s'agiter, hérisser ses plumes et lever les ailes, comme fait un oiseau qui couve ses oeufs, à l'approche d'un ennemi (to flutter, bristle its feathers and lift its wings, like a bird that incubates its eggs, when an enemy approaches)	ǯfǯf	gfgf	g f g f		1099
3762	ps	sacred	*ḳdš	qˤdʃ	qˤ d ʃ		1864
2995	arabic	saindoux, axonge (lard, axonge)	ṯarb-	θarb-	θ a r b		1479
2418	geez	scab, malignant ulcer	ṣərnəˁt	sˤərnəʕt	sˤ ə r n ə ʕ t		1006
2412	arabic	scab; rust	ǯarab-	garab-	g a r a b		1005
2432	ps	scabies, itch, boil	*ḫVŝp-	x-ɬp-	x ɬ p		1010
2407	geez	scabies, itch, sores, skin rash, leprosy	ˁabaḳ	ʕabaqˤ	ʕ a b a qˤ		1004
365	akkadian	scale, scaly skin, tortoise shell; husk, rind, bark, peel	ḳuliptu	qˤuliptu	qˤ u l i p t u		78
3885	hebrew	scales on the bodies of serpents	sälaˁ	sælaʕ	s æ l a ʕ		1979
2406	arabic	scar caused by a wound in the ball, or most elevated part, of the cheek	ˁabāqiyat-	ʕabaːqijat-	ʕ a b aː q i j a t		1004
3547	syriac	scarabaeus (scarab)	ḥabšuštā	ħabʃuʃtaː	ħ a b ʃ u ʃ t aː		1736
3483	arabic	scorpion (newly hatched); young scorpion	šabāt-	ʃabaːt-	ʃ a b aː t		1711
2340	arabic	scorpion’s venom	ḥumat-	ħumat-	ħ u m a t		980
581	ps	sea	*tihām(-at)-	tihaːm-	t i h aː m		171
582	akkadian	sea, ocean, lake	tiāmtu	tiaːmtu	t i aː m t u		171
3617	arabic	second membrane that comes out of the uterus at parturition and is filled with water (in camels)	ḥiwalāˀ-, ḥūlāˀ-, ḥīlāˀ-	ħiwalaːʔ-	ħ i w a l aː ʔ		1762
2843	akkadian	secret	pirištu, piriltu, meriltu	piriʃtu	p i r i ʃ t u		1316
2344	hebrew	secretion, excrements	rəˁī, rēˁī	rəʕiː	r ə ʕ iː		981
1568	arabic	sediment of butter	ḫulāṣat-	xulaːsˤat-	x u l aː sˤ a t		653
248	ps	seed	*ḏarˀ-, *ḏarˁ, *zarˁ-	ðarʔ-	ð a r ʔ		53
249	akkadian	seed	zēru	zeːru	z eː r u		53
250	ugaritic	seed	drˁ, ḏrˁ	drʕ	d r ʕ		53
253	syriac	seed	bar zarˁā	bar	b a r		53
256	geez	seed, grain	zarˀ	zarʔ	z a r ʔ		53
251	hebrew	seed; offspring, descendants	zäraˁ	zæraʕ	z æ r a ʕ		53
252	syriac	seed; sowing; offspring, family	zarˁā	zarʕaː	z a r ʕ aː		53
1581	arabic	serpent	ḥamaṭīṭ-	ħamatˤiːtˤ-	ħ a m a tˤ iː tˤ		659
3606	geez	serpent, dragon	kaysi	kajsi	k a j s i		1758
3432	syriac	serpent; field cricket; creeping animal; crawling locust	šappāpā	ʃappaːpaː	ʃ a p p aː p aː		1691
3433	arabic	serpent; kind of snake with black and white spots	siff-	siff-	s i f f		1691
895	geez	serpentidol of bronze; field snake	nestāli (nesātāli, nǝstāle)	nestaːli	n e s t aː l i		383
3138	ugaritic	servant	sγr, s̀γr	sɣr	s ɣ r		1578
3428	syriac	sesame	šawšmānā	ʃawʃmaːnaː	ʃ a w ʃ m aː n aː		1690
774	akkadian	setting of the sun	erebu	erebu	e r e b u		348
2100	ps	seven	*šabˁ-	ʃabʕ-	ʃ a b ʕ		857
2101	akkadian	seven	sebe	sebe	s e b e		857
2102	hebrew	seven	šäbaˁ	ʃæbaʕ	ʃ æ b a ʕ		857
2103	syriac	seven	šbaˁ	ʃbaʕ	ʃ b a ʕ		857
2104	arabic	seven	sabˁ-	sabʕ-	s a b ʕ		857
2105	geez	seven	sabˁ	sabʕ	s a b ʕ		857
1321	ps	shadow	*ṯ̣ill-	θˤill-	θˤ i l l		556
1322	akkadian	shadow	ṣillu	sˤillu	sˤ i l l u		556
1323	ugaritic	shadow	ṯ̣l	θˤl	θˤ l		556
1324	hebrew	shadow	ṣēl	sˤeːl	sˤ eː l		556
1325	arabic	shadow	ḏ̣ill-	ðˤill-	ðˤ i l l		556
1326	geez	shadow	ṣəlālot	sˤəlaːlot	sˤ ə l aː l o t		556
2730	hebrew	shame	būšā, bōšät	buːʃaː	b uː ʃ aː		1109
2731	hebrew	shame	bōšät	boːʃæt	b oː ʃ æ t		1109
2728	ugaritic	shame; shamelessness	bṯt	bθt	b θ t		1109
2073	arabic	shank, shinbone; leg (of both humans and animals)	kurāˁ-	kuraːʕ-	k u r aː ʕ		851
3042	ps	she	*šī̆/šī̆ˀ/šī̆ya	ʃi	ʃ i		1512
3043	akkadian	she	šī	ʃiː	ʃ iː		1512
3045	hebrew	she	hī(ˀ)	hiː	h iː		1512
3046	arabic	she	hiya	hija	h i j a		1512
3047	geez	she	yəˀəti	jəʔəti	j ə ʔ ə t i		1512
3044	ugaritic	she, it	hy	hj	h j		1512
899	hebrew	sheass	ˀātōn	ʔaːtoːn	ʔ aː t oː n		384
901	arabic	sheass, domestic or wild	ˀitān-	ʔitaːn-	ʔ i t aː n		384
900	syriac	sheass; ass	ˀattānā	ʔattaːnaː	ʔ a t t aː n aː		384
1499	hebrew	shebear	dubbā	dubbaː	d u b b aː		623
819	akkadian	sheep; sheep and goats; ram	immeru	immeru	i m m e r u		363
1178	arabic	shegoat, female of gazelle, female eagle and vulture, bustard	ˁanz(-at)-	ʕanz-	ʕ a n z		508
1174	akkadian	shegoat, goat (gen. term)	enzu	enzu	e n z u		508
4012	ugaritic	shekel (unit of weight)	ṯḳl	θqˤl	θ qˤ l		2030
2069	akkadian	shin (of animals)	kurītu	kuriːtu	k u r iː t u		851
2072	syriac	shin, leg	krāˁā	kraːʕaː	k r aː ʕ aː		851
2872	arabic	shining, glistering	barīṣ-	bariːsˤ-	b a r iː sˤ		1322
631	hebrew	ships, fleet	ˀŏnī	ʔŏniː	ʔ ŏ n iː		216
2777	ps	shoe	*ŝaˀn-	ɬaʔn-	ɬ a ʔ n		1193
2779	akkadian	shoe	šēnu	ʃeːnu	ʃ eː n u		1193
2782	syriac	shoe	msā(ˀ)nā	msaːnaː	m s aː n aː		1193
2783	geez	shoe	ŝāˀn	ɬaːʔn	ɬ aː ʔ n		1193
2780	ugaritic	shoe, sandal(s); rim (?)	šˀn	ʃʔn	ʃ ʔ n		1193
1392	ps	shoot	*parγ-	parɣ-	p a r ɣ		585
651	geez	shoots	ṣ̂āˀṣ̂āˀ	ɬˤaːʔɬˤaːʔ	ɬˤ aː ʔ ɬˤ aː ʔ		261
2042	ps	shoulder	*katip-	katip-	k a t i p		841
2044	ugaritic	shoulder	ktp	ktp	k t p		841
2046	syriac	shoulder	katpā	katpaː	k a t p aː		841
3744	geez	shoulder blade	ḳaf	qˤaf	qˤ a f		1851
2048	geez	shoulder, shoulder blade	matkaf	matkaf	m a t k a f		841
2045	hebrew	shoulder, upper arm	kātēp	kaːteːp	k aː t eː p		841
2047	arabic	shoulderblade, shoulder	katif-	katif-	k a t i f		841
3200	akkadian	shrivelled or withered	ḫamadīru	xamadiːru	x a m a d iː r u		1599
2523	ugaritic	sich sättigen	šbˁ	ʃbʕ	ʃ b ʕ		1043
2193	ugaritic	sick person	dw	dw	d w		939
2194	ugaritic	sickness	mdw	mdw	m d w		939
2858	akkadian	side	peˀatu	peʔatu	p e ʔ a t u		1319
497	arabic	side of the neck; bank of a river	ṣawr-	sˤawr-	sˤ a w r		126
2015	hebrew	side whiskers and (pointed) beard	zāḳān	zaːqˤaːn	z aː qˤ aː n		833
3446	hebrew	side, arm	gäsäs	gæsæs	g æ s æ s		1695
2861	hebrew	side, edge	pēˀā	peːʔaː	p eː ʔ aː		1319
767	syriac	side; region; place	pnitā	pnitaː	p n i t aː		347
2614	hebrew	sieve	nāpā	naːpaː	n aː p aː		1065
2908	ps	sign	*ˀayat-	ʔajat-	ʔ a j a t		1343
2909	akkadian	sign	ittu	ittu	i t t u		1343
2910	hebrew	sign	ˀōt	ʔoːt	ʔ oː t		1343
2911	syriac	sign	ˀātā	ʔaːtaː	ʔ aː t aː		1343
2912	arabic	sign	ˀāyat-	ʔaːjat-	ʔ aː j a t		1343
1863	arabic	sign, mark	tuˀmur-	tuʔmur-	t u ʔ m u r		776
1864	arabic	sign, mark	ˀamarat-	ʔamarat-	ʔ a m a r a t		776
3716	hebrew	silt	bōṣ	boːsˤ	b oː sˤ		1834
396	arabic	silver coins	warq-, wariq-	warq-	w a r q		87
3560	syriac	sincere, guileless, simple, inexperienced	brīrā	briːraː	b r iː r aː		1739
1653	geez	sinew, nerve, muscle	matn	matn	m a t n		693
1651	akkadian	sinew, tendon	matnu	matnu	m a t n u		693
1650	ps	sinew, tendon; nerve	*matn- (1)	matn-	m a t n		693
1648	syriac	sinew; fiber of a root	gyādā	gjaːdaː	g j aː d aː		692
3853	akkadian	sinews	manānu	manaːnu	m a n aː n u		1915
3608	syriac	sinus; penis; cunnus, vagina	ḥannā	ħannaː	ħ a n n aː		1759
3650	arabic	sip, gulp	nafas-	nafas-	n a f a s		1791
1092	ps	sister	*ˀaḫ-āt-	ʔax-aːt-	ʔ a x aː t		492
1093	akkadian	sister	aḫātu	axaːtu	a x aː t u		492
1094	ugaritic	sister	ˀaḫt	ʔaxt	ʔ a x t		492
1095	hebrew	sister	ˀāḥōt	ʔaːħoːt	ʔ aː ħ oː t		492
1096	syriac	sister	ḥātā	ħaːtaː	ħ aː t aː		492
1097	arabic	sister	ˀuḫt-	ʔuxt-	ʔ u x t		492
1098	geez	sister	ˀəḫət	ʔəxət	ʔ ə x ə t		492
2093	ps	six	*šidṯ-	ʃidθ-	ʃ i d θ		856
2094	akkadian	six	šeššet	ʃeʃʃet	ʃ e ʃ ʃ e t		856
2095	ugaritic	six	ṯṯ	θθ	θ θ		856
2096	hebrew	six	šeš	ʃeʃ	ʃ e ʃ		856
2097	syriac	six	šeṯ	ʃeθ	ʃ e θ		856
2098	arabic	six	sitt-	sitt-	s i t t		856
2099	geez	six	səds	səds	s ə d s		856
1668	ps	skin	*mašk-	maʃk-	m a ʃ k		703
1671	syriac	skin	meškā	meʃkaː	m e ʃ k aː		703
1673	ps	skin	*parr-, *parw-	parr-	p a r r		705
2415	hebrew	skin disease (not leprosy)	ṣāraˁat	sˤaːraʕat	sˤ aː r a ʕ a t		1006
2436	hebrew	skin rash	bōhaḳ	boːhaqˤ	b oː h a qˤ		1011
2428	hebrew	skin specks	ḥăbarbūrōt	ħăbarbuːroːt	ħ ă b a r b uː r oː t		1009
1674	akkadian	skin, hide	pāru	paːru	p aː r u		705
1669	akkadian	skin, leather	mašku	maʃku	m a ʃ k u		703
364	akkadian	skin, peel (of a fruit)	ḳilpu	qˤilpu	qˤ i l p u		78
3369	ps	skin; peel; scales; test	*gVl(a)p­at-	g-lpat-	g l p a t		1655
113	ps	skull	*ḳVdḳVd-	qˤ-dqˤ-d-	qˤ d qˤ d		25
116	hebrew	skull	ḳodḳōd	qˤodqˤoːd	qˤ o d qˤ oː d		25
1811	ps	skull	*gVlgVl-at-	g-lg-l-at-	g l g l a t		754
1812	akkadian	skull	gulgullatu	gulgullatu	g u l g u l l a t u		754
1813	hebrew	skull	gulgōlät	gulgoːlæt	g u l g oː l æ t		754
115	ugaritic	skull, crown	ḳdḳd	qˤdqˤd	qˤ d qˤ d		25
1952	syriac	skull; marrow, brain	muḥḥā	muħħaː	m u ħ ħ aː		804
2504	akkadian	slave girl, servant girl	amtu	amtu	a m t u		1038
1379	ps	sleep	*šin-at-	ʃin-at-	ʃ i n a t		572
1380	akkadian	sleep	šittu	ʃittu	ʃ i t t u		572
1382	ugaritic	sleep	šnt	ʃnt	ʃ n t		572
1383	hebrew	sleep	šēnā	ʃeːnaː	ʃ eː n aː		572
1384	syriac	sleep	šentā	ʃentaː	ʃ e n t aː		572
2384	ugaritic	sleep of death; drowsiness	nhmmt	nhmmt	n h m m t		1000
1659	arabic	sleeve	kumm-	kumm-	k u m m		697
3503	arabic	small camels or lambs; young of a herd made up of camels or sheep	wābilat-	waːbilat-	w aː b i l a t		1721
1413	ps	small cattle	*ṣ̂aˀn-	ɬˤaʔn-	ɬˤ a ʔ n		596
1414	akkadian	small cattle	ṣēnu	sˤeːnu	sˤ eː n u		596
1418	arabic	small cattle	ḍaˀn-	dˤaʔn-	dˤ a ʔ n		596
3538	ps	small hoofed animal	*gVrr/w(-at)-	g-rr	g r r		1733
1623	syriac	small louse	ˁaššā	ʕaʃʃaː	ʕ a ʃ ʃ aː		676
3620	hebrew	small owl	kōs	koːs	k oː s		1765
2416	arabic	small swelling, pustule	ṣamγat-	sˤamɣat-	sˤ a m ɣ a t		1006
434	arabic	small thorny tree	šaras-	ʃaras-	ʃ a r a s		98
433	arabic	small thorny trees	širs-	ʃirs-	ʃ i r s		98
447	arabic	small thorny trees	ˁiḍḍ-	ʕidˤdˤ-	ʕ i dˤ dˤ		100
3139	ugaritic	small, of tender years, young	ṣγr	sˤɣr	sˤ ɣ r		1578
618	akkadian	smoke	ḳutru	qˤutru	qˤ u t r u		204
619	ugaritic	smoke	ḳṭr	qˤtˤr	qˤ tˤ r		204
3498	hebrew	snail	šabbəlūl	ʃabbəluːl	ʃ a b b ə l uː l		1719
1557	ps	snake	*baṯan-	baθan-	b a θ a n		650
1559	ugaritic	snake	bṯn	bθn	b θ n		650
1562	arabic	snake	baṯan-	baθan-	b a θ a n		650
1558	akkadian	snake; horned viper	bašmu	baʃmu	b a ʃ m u		650
1285	ps	snow	*ṯalg-	θalg-	θ a l g		546
1286	akkadian	snow	šalgu	ʃalgu	ʃ a l g u		546
1287	ugaritic	snow	glṯ	glθ	g l θ		546
1288	hebrew	snow	šäläg	ʃælæg	ʃ æ l æ g		546
1289	syriac	snow	talgā	talgaː	t a l g aː		546
1290	arabic	snow	ṯalǯ-	θalg-	θ a l g		546
1995	syriac	sockets of teeth	dūrā, dawrā, dawrətā	duːraː	d uː r aː		827
3672	akkadian	soft part of the sheep's breastbone; a cut of the meat of a sheep	kaskasu	kaskasu	k a s k a s u		1811
225	akkadian	soil	eperu	eperu	e p e r u		48
226	ugaritic	soil	ˁpr	ʕpr	ʕ p r		48
227	hebrew	soil	ˁāpār	ʕaːpaːr	ʕ aː p aː r		48
229	arabic	soil	ˁafar-	ʕafar-	ʕ a f a r		48
230	geez	soil	ˀafar	ʔafar	ʔ a f a r		48
224	ps	soil; soft surface of the earth used for cultivation and as a building material (soil, dust)	*ˁapar-	ʕapar-	ʕ a p a r		48
457	akkadian	son	māru	maːru	m aː r u		105
1135	ps	son	*bin-	bin-	b i n		500
1136	akkadian	son	binu, binnu	binu	b i n u		500
1137	ugaritic	son	bn	bn	b n		500
1138	hebrew	son	bēn	beːn	b eː n		500
1139	arabic	son	ˀibn-	ʔibn-	ʔ i b n		500
2403	ps	sores, scabies, leprosy	*ˁabaḳ-	ʕabaqˤ-	ʕ a b a qˤ		1004
2417	arabic	sorte d'excroissance hideuse à voir sur les lèvres, sur le nez ou sur les oreilles (a kind of ugly growth seen on the lips, nose, or ears)	ṣimγat-	sˤimɣat-	sˤ i m ɣ a t		1006
1262	akkadian	soul	napištu, napaštu	napiʃtu	n a p i ʃ t u		540
801	ps	soul (as receptacle of vital energy)	*napš-	napʃ-	n a p ʃ		356
804	geez	soul, spirit, breath, life, etc.	nafs	nafs	n a f s		356
2720	hebrew	sour, unripe berries	bəˀūšīm	bəʔuːʃiːm	b ə ʔ uː ʃ iː m		1108
1891	arabic	species piscis marini, i.q. kawsay	luḫm-	luxm-	l u x m		785
3203	ps	spelt, emmer	*kunāṯ-	kunaːθ-	k u n aː θ		1600
3204	akkadian	spelt, emmer wheat	kunāšu	kunaːʃu	k u n aː ʃ u		1600
2301	arabic	sperme (du mâle); liqueur utérine de la femelle (semen (from the male); female uterine liquor)	maniyy-	manijj-	m a n i j j		972
2300	arabic	sperme; liqueur de la femelle qui se mêle au sperme et contribue à la génération (sperm; liquor of the female which mixes with the sperm and contributes to the generation)	minā, minaⁿ	minaː	m i n aː		972
3269	ps	spider	*hatatVw/y-at-	hatat-w	h a t a t w		1620
3270	akkadian	spider	ettūtu	ettuːtu	e t t uː t u		1620
3580	ps	spinal column with thigh bones	*ḥa/ul(l/y)-	ħa	ħ a		1750
1652	arabic	spine; tendon, sinew	matn-	matn-	m a t n		693
2343	akkadian	spittle, slaver, saliva, phlegm, mucus; sap	ruˀtu	ruʔtu	r u ʔ t u		981
1777	ps	spleen	*ṭiḥāl-	tˤiħaːl-	tˤ i ħ aː l		747
1778	ugaritic	spleen	ṭḥl	tˤħl	tˤ ħ l		747
1779	hebrew	spleen	ṭəḥōl	tˤəħoːl	tˤ ə ħ oː l		747
1780	syriac	spleen	ṭḥālā	tˤħaːlaː	tˤ ħ aː l aː		747
1781	arabic	spleen	ṭiḥāl-	tˤiħaːl-	tˤ i ħ aː l		747
1782	ps	spleen	*ṭVlḥīm-	tˤ-lħiːm-	tˤ l ħ iː m		748
1783	akkadian	spleen	ṭulīmu	tˤuliːmu	tˤ u l iː m u		748
3015	geez	spleen	səmāḫ, səmāḥ	səmaːx	s ə m aː x		1502
3131	ugaritic	splendour	nmrt	nmrt	n m r t		1575
2425	ps	spot on the skin, bruise, mark of violence	*ḥVbVr-	ħ-b-r-	ħ b r		1009
1429	akkadian	spring lamb	ḫurāpu	xuraːpu	x u r aː p u		603
889	arabic	spring rain	daṯaˀiyy-	daθaʔijj-	d a θ a ʔ i j j		380
3825	syriac	spring, fountain	pṣidā	psˤidaː	p sˤ i d aː		1896
1109	ps	stag, deer	*ˀayyal-	ʔajjal-	ʔ a j j a l		496
1110	akkadian	stag, deer	ayalu	ajalu	a j a l u		496
1800	arabic	stallion, male animal used for fecundation	faḥl-	faħl-	f a ħ l		752
258	ps	star	*kabkab-	kabkab-	k a b k a b		56
259	akkadian	star	kakkabu	kakkabu	k a k k a b u		56
260	ugaritic	star	kbkb	kbkb	k b k b		56
261	hebrew	star	kōkāb	koːkaːb	k oː k aː b		56
263	arabic	star	kawkab-	kawkab-	k a w k a b		56
264	geez	star	kokab	kokab	k o k a b		56
262	syriac	star; kind of collyrium	kawkbā	kawkbaː	k a w k b aː		56
3512	ps	starling	*zarzī/ūr-	zarziː	z a r z iː		1725
3513	akkadian	starling	zanzīru	zanziːru	z a n z iː r u		1725
3515	syriac	starling	zarzīrā	zarziːraː	z a r z iː r aː		1725
3516	arabic	starling	zurzur-	zurzur-	z u r z u r		1725
1584	syriac	starred lizard	ḥardānā	ħardaːnaː	ħ a r d aː n aː		660
2043	akkadian	sternum or part of the ribs	katappātu	katappaːtu	k a t a p p aː t u		841
784	akkadian	stick, staff	ḫuṭāru	xutˤaːru	x u tˤ aː r u		351
2006	akkadian	stiff, wiry (?) hair	apparrītu	apparriːtu	a p p a r r iː t u		832
2906	syriac	stinking	zaptā, zeptā	zaptaː	z a p t aː		1341
2067	arabic	stomach	qibat-, qibbat-, qabqab-	qibat-	q i b a t		850
3614	arabic	stomach	maḥšaⁿ	maħʃa	m a ħ ʃ a		1761
2064	ps	stomach (of animals)	*ḳVb-at-	qˤ-b-at-	qˤ b a t		850
2467	syriac	stomach growling	ˁurṭē, ˁurṭāyā	ʕurtˤeː	ʕ u r tˤ eː		1023
